"National Life Tables, United Kingdom",,,,Corrected June 2014,,,,,,Back to contents,
,,,,,,,,,,,
Period expectation of life,,,,,,,,,,,Office for National Statistics
Based on data for the years 2010-2012,,,,,,,,,,,
,,,,,,,,,,,
Age,Males,,,,,,Females*,,,,
 x,mx,qx,lx,dx,ex,,mx,qx,lx,dx,ex
0,0.004733,0.004722,100000.0,472.2,78.71,,0.003792,0.003785,100000.0,378.5,82.58
1,0.000334,0.000334,99527.8,33.2,78.08,,0.000291,0.000291,99621.5,29.0,81.89
2,0.000192,0.000192,99494.6,19.1,77.11,,0.000134,0.000134,99592.5,13.4,80.92
3,0.000125,0.000124,99475.5,12.4,76.12,,0.000120,0.000120,99579.1,11.9,79.93
4,0.000106,0.000106,99463.1,10.5,75.13,,0.000097,0.000097,99567.2,9.6,78.94
5,0.000110,0.000110,99452.5,10.9,74.14,,0.000091,0.000091,99557.5,9.0,77.94
6,0.000100,0.000100,99441.6,9.9,73.15,,0.000083,0.000083,99548.5,8.2,76.95
7,0.000077,0.000077,99431.7,7.6,72.16,,0.000069,0.000069,99540.3,6.8,75.96
8,0.000105,0.000105,99424.1,10.4,71.16,,0.000080,0.000080,99533.4,8.0,74.96
9,0.000103,0.000103,99413.7,10.2,70.17,,0.000066,0.000066,99525.4,6.5,73.97
10,0.000090,0.000090,99403.5,9.0,69.18,,0.000064,0.000064,99518.9,6.4,72.97
11,0.000098,0.000098,99394.5,9.7,68.18,,0.000073,0.000073,99512.5,7.2,71.98
12,0.000110,0.000110,99384.8,10.9,67.19,,0.000089,0.000089,99505.3,8.8,70.98
13,0.000095,0.000095,99373.9,9.4,66.20,,0.000081,0.000081,99496.4,8.1,69.99
14,0.000128,0.000128,99364.5,12.8,65.20,,0.000109,0.000109,99488.4,10.9,69.00
15,0.000159,0.000159,99351.7,15.8,64.21,,0.000123,0.000123,99477.5,12.2,68.00
16,0.000224,0.000224,99335.9,22.2,63.22,,0.000142,0.000142,99465.3,14.1,67.01
17,0.000360,0.000360,99313.7,35.8,62.24,,0.000194,0.000194,99451.2,19.3,66.02
18,0.000485,0.000485,99277.9,48.2,61.26,,0.000189,0.000189,99431.9,18.8,65.03
19,0.000472,0.000472,99229.7,46.8,60.29,,0.000223,0.000223,99413.1,22.1,64.05
20,0.000519,0.000519,99182.9,51.5,59.32,,0.000212,0.000212,99390.9,21.1,63.06
21,0.000556,0.000556,99131.4,55.1,58.35,,0.000207,0.000207,99369.8,20.6,62.07
22,0.000559,0.000558,99076.3,55.3,57.38,,0.000207,0.000207,99349.2,20.6,61.09
23,0.000590,0.000590,99021.0,58.5,56.41,,0.000248,0.000248,99328.6,24.7,60.10
24,0.000549,0.000548,98962.6,54.3,55.44,,0.000246,0.000246,99304.0,24.4,59.11
25,0.000612,0.000612,98908.3,60.5,54.47,,0.000261,0.000261,99279.6,25.9,58.13
26,0.000610,0.000610,98847.8,60.3,53.51,,0.000269,0.000269,99253.7,26.7,57.14
27,0.000627,0.000627,98787.5,61.9,52.54,,0.000326,0.000326,99227.0,32.3,56.16
